District,AvePrice,x,y,r,rgb,index
Upper West Side,2353,417,138,60,"rgb(245,170,164)",1
Upper East Side,2231,505,239,45,"rgb(245,170,164)",2
Midtown West,2712,419,278,24,"rgb(239,123,115)",3
Midtown East,2530,485,329,20,"rgb(239,123,115)",4
Chelsea,3021,383,333,28,"rgb(215,21,4)",5
Greenwich Viaage,2988,365,396,24,"rgb(215,21,4)",6
Soho,3109,383,464,17,"rgb(215,21,4)",7
East Village,2250,450,420,18,"rgb(245,170,164)",8
Lower East Side,2207,448,476,20,"rgb(245,170,164)",9
Financial District,2566,347,516,21,"rgb(239,123,115)",10
Long Island City,2103,539,349,30,"rgb(246,214,212)",11
Downtown Brooklyn,2085,411,561,30,"rgb(246,214,212)",12
